areacode,areaname,percsmoking
S13002812,Stirling East,1.515E1
S13002813,Bannockburn,1.827E1
S13002814,Lomond  ,2.193E1
S13002815,Leven  ,2.006E1
S13002816,Dumbarton,1.847E1
S13002817,Kilpatrick,2.212E1
S13002818,Clydebank Central,2.74E1
S13002819,Clydebank Waterfront,2.268E1
S13002820,Linlithgow,1.058E1
S13002821,"Broxburn, Uphall and Winchburgh",1.975E1
S13002822,Livingston North,1.781E1
S13002823,Livingston South,2.202E1
S13002824,East Livingston and East Calder,2.392E1
S13002825,Fauldhouse and the Breich Valley,2.898E1
S13002826,Whitburn and Blackburn,3.057E1
S13002827,Bathgate,1.665E1
S13002828,Armadale and Blackridge,1.935E1
S13002829,Monifeith and Sidlaw,7.33E0
S13002830,North East,2.345E1
S13002832,Strathkelvin,1.07E1
S13002833,Bishopbriggs South,8.62E0
S13002834,North East,1.768E1
